state[0],state[1],state[2],action,reward,nextState[0],nextState[1],nextState[2]
0,0,0,1,0.9,0,1,0.3
0,1,0.3,3,0.9,0,2,0.6
0,2,0.6,9,0.9,0,3,0.9
0,3,0.9,2,-0.3,0,4,0.6
0,4,0.6,5,0.9,0,5,0.9
0,5,0.9,7,0.9,0,6,1
0,6,1,6,-0.3,0,7,0.9
0,7,0.9,8,-0.3,0,8,0.8
0,8,0.8,0,-0.3,0,9,0.7
0,9,0.7,4,-0.3,0,10,0.6
0,10,0.6,2,-0.3,0,11,0.5
0,11,0.5,3,0.9,0,12,0.8
0,12,0.8,1,0.9,0,13,1
0,13,1,7,0.9,0,14,1
0,14,1,5,0.9,0,15,1
0,15,1,4,-0.3,0,16,0.9
0,16,0.9,9,0.9,0,17,1
0,17,1,8,-0.3,0,18,0.9
0,18,0.9,3,0.9,0,19,1
0,19,1,0,-0.3,0,20,0.9
0,20,0.9,6,-0.3,0,21,0.8
